epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,16090.9,1.21655,1.12169,1.40219,0.58862,0.79416,0.73125,0.45448,1.38576,1.06893,1.49297,0.0003466,0.0003466,0.0003466
68,16298.1,1.2166,1.12183,1.4008,0.54953,0.76294,0.73688,0.42523,1.41055,1.17174,1.47801,0.0003367,0.0003367,0.0003367
69,16505.7,1.21187,1.1165,1.39187,0.67458,0.75721,0.79551,0.47113,1.38375,1.03658,1.48982,0.0003268,0.0003268,0.0003268
70,16712.1,1.22393,1.12399,1.39476,0.64725,0.77695,0.78313,0.46924,1.38676,1.11495,1.45005,0.0003169,0.0003169,0.0003169
71,16920.6,1.20998,1.09847,1.38362,0.59825,0.77211,0.75012,0.44443,1.40195,1.10219,1.51573,0.000307,0.000307,0.000307
72,17128.5,1.20093,1.09721,1.38877,0.56202,0.83533,0.766,0.45434,1.44718,1.06473,1.50453,0.0002971,0.0002971,0.0002971
73,17336.2,1.18523,1.07686,1.37461,0.60935,0.69572,0.73908,0.4463,1.49547,1.06378,1.54271,0.0002872,0.0002872,0.0002872
74,17544.9,1.19082,1.07176,1.37401,0.62696,0.78466,0.78927,0.44163,1.49705,1.12745,1.56605,0.0002773,0.0002773,0.0002773
75,17752.8,1.20284,1.07005,1.37899,0.59472,0.77036,0.76251,0.45028,1.43404,1.0859,1.51807,0.0002674,0.0002674,0.0002674
76,17961.7,1.1918,1.0639,1.36925,0.65494,0.77104,0.79469,0.48087,1.44127,1.0379,1.52903,0.0002575,0.0002575,0.0002575
77,18169.7,1.19139,1.0838,1.38255,0.70729,0.72441,0.7906,0.47045,1.43366,1.00597,1.53071,0.0002476,0.0002476,0.0002476
78,18379.1,1.19301,1.07146,1.38294,0.60984,0.77936,0.75156,0.45251,1.46038,1.07203,1.52173,0.0002377,0.0002377,0.0002377
79,18589.2,1.18961,1.06592,1.3694,0.628,0.74067,0.73618,0.43012,1.41868,1.11849,1.5109,0.0002278,0.0002278,0.0002278
80,18799.4,1.18034,1.07227,1.37702,0.64879,0.76534,0.75683,0.45481,1.36393,1.09933,1.44092,0.0002179,0.0002179,0.0002179
81,19008.8,1.16197,1.02411,1.35166,0.67352,0.81822,0.76199,0.44397,1.41809,1.07878,1.51193,0.000208,0.000208,0.000208
82,19218.2,1.17215,1.03462,1.36383,0.60971,0.85443,0.75951,0.45519,1.45667,1.02926,1.59245,0.0001981,0.0001981,0.0001981
83,19428.6,1.15662,1.02862,1.35522,0.61484,0.8336,0.74445,0.43805,1.42966,1.05482,1.53184,0.0001882,0.0001882,0.0001882
84,19638.8,1.16238,1.02466,1.35281,0.59511,0.7697,0.74899,0.44519,1.49201,1.03244,1.56894,0.0001783,0.0001783,0.0001783
85,19849.6,1.16005,1.02736,1.35859,0.61221,0.77756,0.71809,0.43814,1.44407,1.04539,1.58288,0.0001684,0.0001684,0.0001684
86,20084.3,1.14455,1.0052,1.34705,0.59767,0.67781,0.64905,0.42006,1.49757,1.11255,1.58995,0.0001585,0.0001585,0.0001585
87,20339.6,1.12884,0.99614,1.33957,0.62658,0.72295,0.71957,0.42201,1.51061,1.07752,1.61605,0.0001486,0.0001486,0.0001486
88,20589.6,1.1476,1.00712,1.34462,0.63368,0.83397,0.80073,0.45523,1.44788,1.06861,1.49236,0.0001387,0.0001387,0.0001387
89,20837.5,1.14182,0.99597,1.34867,0.59718,0.77416,0.69206,0.42375,1.47798,1.09544,1.56361,0.0001288,0.0001288,0.0001288
90,21087.7,1.13372,0.97353,1.33245,0.60278,0.80066,0.726,0.42651,1.49481,1.11838,1.59941,0.0001189,0.0001189,0.0001189
91,21335.2,1.14365,0.97048,1.37805,0.54959,0.81591,0.72405,0.43714,1.43012,1.0886,1.54337,0.000109,0.000109,0.000109
92,21579.6,1.11995,0.92041,1.37072,0.63237,0.73268,0.72193,0.42159,1.47397,1.1308,1.5924,9.91e-05,9.91e-05,9.91e-05
93,21822.4,1.10591,0.9063,1.36332,0.63139,0.77898,0.75032,0.45277,1.4301,1.12075,1.52387,8.92e-05,8.92e-05,8.92e-05
94,22047.3,1.09346,0.87002,1.35538,0.65829,0.81358,0.75312,0.42551,1.45297,1.08606,1.57261,7.93e-05,7.93e-05,7.93e-05
95,22264.1,1.07998,0.86873,1.3461,0.64268,0.76832,0.744,0.44392,1.46895,1.07912,1.5571,6.94e-05,6.94e-05,6.94e-05
96,22705.2,1.0746,0.85842,1.34116,0.61074,0.79074,0.72031,0.41667,1.48034,1.11928,1.56887,5.95e-05,5.95e-05,5.95e-05
97,22916.8,1.0664,0.84736,1.33695,0.63846,0.74741,0.71929,0.42652,1.46486,1.12608,1.5602,4.96e-05,4.96e-05,4.96e-05
98,23128.7,1.06188,0.83893,1.33774,0.66897,0.76127,0.75265,0.43835,1.47383,1.09458,1.57143,3.97e-05,3.97e-05,3.97e-05
99,23350.2,1.05837,0.83058,1.32942,0.64773,0.76507,0.7572,0.43686,1.48817,1.09499,1.58198,2.98e-05,2.98e-05,2.98e-05
100,23564.9,1.05055,0.83545,1.32569,0.65199,0.76179,0.72951,0.44343,1.46666,1.09705,1.55879,1.99e-05,1.99e-05,1.99e-05
